Transaction_Amount,Hour,DayOfWeek,Is_Weekend,Location_Rijeka,Location_Zagreb,Location_Split,Location_Osijek,Location_Dubrovnik,Location_Foreign,Merchant_Category_Food,Merchant_Category_Coffee,Merchant_Category_Groceries,Merchant_Category_Electronics,Merchant_Category_Clothing,Merchant_Category_Travel,Merchant_Category_Health,Merchant_Category_Entertainment,is_fraud
202.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2.35,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53.3,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29.04,15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16.9,7,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
21.9,18,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.5,20,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37.41,6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23.63,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12.36,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46.11,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12.33,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30.84,19,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36.51,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48.24,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75.44,8,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82.92,23,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10.97,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
394.09,4,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
72.18,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44.55,20,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
11.93,9,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
59.54,8,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.32,23,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.08,23,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
348.81,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
14.99,21,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22.5,18,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57.01,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19.2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
854.86,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2.95,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22.05,15,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28.4,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.17,22,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
124.99,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24.87,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97.37,11,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9.79,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49.94,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59.82,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.1,14,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4111.75,3,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4.6,23,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
66.52,7,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
128.14,19,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144.04,0,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
24.35,18,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
79.37,23,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.06,15,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
37.15,17,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
699.24,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23.44,18,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
55.71,19,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.6,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25.9,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
170.1,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
55.54,23,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71.9,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
167.51,21,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9.59,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.75,20,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
669.71,8,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
40.49,14,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69.39,12,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
39.73,11,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
154.93,18,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44.49,14,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1435.52,0,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
71.48,11,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135.2,23,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57.87,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3.14,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45.54,8,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2744.02,11,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6.79,23,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43.43,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.8,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
29.72,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174.1,17,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
932.33,17,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
58.73,12,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
187.99,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
827.72,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
73.72,16,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35.53,14,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5.07,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.6,23,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7.24,10,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
51.72,13,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28.88,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5.14,12,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
209.33,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2712.13,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5.1,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51.97,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3.91,12,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.15,20,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2027.7,20,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
32.77,13,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.91,9,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
36.93,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2026.34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
58.31,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15.33,8,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
552.84,12,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
11.77,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
175.35,6,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
14.04,20,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
796.74,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1.55,18,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29.07,15,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.44,19,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9.53,9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28.37,20,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1221.27,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
66.14,11,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30.17,14,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
721.26,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
34.07,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.51,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11.16,18,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
290.56,16,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8.03,6,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
62.94,11,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
121.66,9,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23.7,10,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25.38,23,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5.45,14,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2.44,21,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
28.74,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.37,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27.75,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58.35,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
41.64,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79.51,14,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
366.35,3,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
112.78,23,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67.88,6,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1554.77,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1730.24,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
52.67,6,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3.32,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
183.41,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
234.77,16,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19.85,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195.58,15,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
749.38,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
62.29,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
196.35,23,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
29.65,21,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38.56,10,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73.15,18,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45.49,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34.03,14,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.6,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2.19,21,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26.51,14,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
124.09,13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
198.55,9,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2.49,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
54.46,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
47.28,7,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1008.5,13,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12.8,21,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
76.22,14,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
88.2,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
173.14,6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21.97,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
59.66,21,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
46.36,22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.41,14,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32.52,20,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30.42,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45.85,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20.41,12,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23.0,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.15,14,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32.25,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7.97,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57.03,19,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
278.43,9,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
117.89,22,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22.37,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
336.67,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
36.31,6,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
113.43,21,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44.01,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72.77,10,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.93,19,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.81,17,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35.67,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19.68,7,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12.11,23,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6.64,19,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18.03,22,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47.75,23,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14.77,17,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70.26,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.53,10,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87.43,22,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27.13,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
164.84,13,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
60.18,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19.38,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28.51,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228.49,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53.48,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1733.82,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
36.65,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38.15,10,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18.43,11,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51.81,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
76.02,12,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38.19,16,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.7,11,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9.3,23,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
174.43,15,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1886.19,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
188.62,22,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8.42,8,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51.92,11,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
33.63,10,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
28.4,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21.8,7,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27.19,23,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55.59,22,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43.17,17,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
520.44,16,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
137.0,12,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36.9,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18.58,15,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72.22,11,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5.13,13,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20.9,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48.62,7,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.78,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
58.05,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21.86,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
868.42,4,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1495.2,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
148.96,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
111.08,14,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.05,22,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50.3,15,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28.68,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
40.84,17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38.19,9,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6.81,18,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16.46,20,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5.08,11,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
91.17,7,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9.55,11,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5.72,17,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
194.13,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23.91,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5.53,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41.97,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11.09,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18.49,20,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16.45,23,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38.16,12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
85.12,22,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
126.61,13,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
246.49,20,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22.06,17,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
84.94,9,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24.01,6,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3.19,6,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
35.37,14,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86.22,18,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38.02,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37.73,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78.38,15,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15.88,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124.53,1,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
35.17,21,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
15.16,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
937.11,20,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
128.26,4,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
27.21,14,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
227.56,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
260.76,16,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32.29,13,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3.81,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5.09,10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
25.86,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
50.37,12,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
60.74,20,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5.99,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.34,12,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
22.89,15,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25.37,10,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36.07,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52.35,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33.54,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.38,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
166.72,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
31.36,23,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89.98,6,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
59.54,15,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50.56,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38.83,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
178.78,14,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32.16,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63.15,15,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
294.9,17,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
148.62,15,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
54.96,16,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
29.62,23,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45.21,22,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
192.55,23,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
