Transaction_Amount,Is_Weekend,Risk_Score,Fraud_Label,Hour,DayOfWeek,Location_London,Location_Mumbai,Location_New York,Location_Sydney,Location_Tokyo,Merchant_Category_Clothing,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel
43.67,0,0.1535,0,11,2,False,True,False,False,False,False,False,True,False,False
35.48,0,0.9509,1,3,6,False,False,False,True,False,False,False,False,False,True
69.42,0,0.499,0,19,0,True,False,False,False,False,True,False,False,False,False
105.88,0,0.5794,0,14,2,False,False,True,False,False,False,True,False,False,False
97.23,0,0.6551,0,2,4,False,True,False,False,False,True,False,False,False,False
309.46,0,0.2389,0,11,6,True,False,False,False,False,False,True,False,False,False
86.97,0,0.1571,1,18,6,False,False,True,False,False,False,False,False,True,False
110.75,0,0.1995,0,13,3,False,False,True,False,False,True,False,False,False,False
209.18,0,0.8742,1,7,5,False,False,True,False,False,False,False,True,False,False
184.5,0,0.4426,1,3,5,False,False,False,True,False,False,False,False,False,True
17.04,0,0.4467,0,13,2,False,False,False,True,False,False,True,False,False,False
12.13,0,0.6382,0,12,1,True,False,False,False,False,True,False,False,False,False
260.47,1,0.978,1,23,3,False,False,False,True,False,False,True,False,False,False
68.1,1,0.6328,0,16,3,False,False,False,False,True,True,False,False,False,False
170.02,0,0.6698,0,0,3,True,False,False,False,False,False,False,False,True,False
182.66,0,0.3398,0,20,0,False,True,False,False,False,False,True,False,False,False
92.96,0,0.2061,1,8,5,False,True,False,False,False,False,True,False,False,False
144.37,0,0.8291,0,6,0,False,True,False,False,False,False,False,True,False,False
3.54,0,0.7642,0,8,4,False,False,False,True,False,False,False,False,True,False
13.26,0,0.9841,1,4,2,True,False,False,False,False,False,False,True,False,False
17.99,0,0.3667,0,0,2,True,False,False,False,False,True,False,False,False,False
153.67,0,0.7741,0,21,6,False,False,False,True,False,True,False,False,False,False
70.71,0,0.1951,0,11,1,False,False,False,True,False,False,True,False,False,False
3.37,0,0.1696,1,2,2,False,False,False,True,False,False,False,False,True,False
157.68,1,0.9827,1,17,4,True,False,False,False,False,False,True,False,False,False
82.06,0,0.9414,1,10,5,False,False,True,False,False,False,False,True,False,False
5.32,1,0.4979,1,6,5,False,True,False,False,False,True,False,False,False,False
119.95,1,0.5708,0,23,5,False,True,False,False,False,False,True,False,False,False
117.28,0,0.4682,0,2,6,False,False,False,True,False,False,True,False,False,False
181.73,1,0.7188,0,18,4,False,True,False,False,False,False,False,False,False,True
62.48,0,0.0323,1,8,2,False,True,False,False,False,False,False,False,False,True
40.59,0,0.215,0,8,5,False,True,False,False,False,False,False,False,True,False
112.39,1,0.4571,0,16,1,False,False,False,True,False,False,False,True,False,False
28.15,0,0.091,0,21,6,False,False,True,False,False,False,False,False,True,False
117.73,0,0.0956,0,17,0,False,False,False,True,False,False,False,False,True,False
15.36,0,0.2789,0,2,5,False,True,False,False,False,False,False,True,False,False
117.16,0,0.881,1,23,3,False,False,False,False,True,False,False,False,False,True
201.85,0,0.0804,0,13,4,False,False,False,False,True,False,True,False,False,False
149.61,1,0.5208,0,22,3,False,False,False,True,False,False,True,False,False,False
226.29,0,0.8839,1,13,0,True,False,False,False,False,False,True,False,False,False
46.84,1,0.9745,1,4,1,False,False,True,False,False,False,False,False,False,True
82.54,0,0.2806,1,12,0,False,False,False,False,True,False,False,True,False,False
16.98,0,0.3388,0,13,3,False,False,False,False,True,False,False,False,False,True
38.75,0,0.6657,0,7,2,False,True,False,False,False,False,True,False,False,False
305.14,0,0.6042,0,3,1,False,False,False,False,True,False,False,False,False,True
68.78,1,0.6813,0,8,4,False,False,True,False,False,False,False,True,False,False
49.26,0,0.8769,1,1,2,False,False,False,True,False,False,False,False,False,True
5.0,0,0.2179,1,8,5,False,True,False,False,False,False,False,True,False,False
0.8,1,0.7136,0,19,1,False,False,False,False,True,False,False,True,False,False
29.2,0,0.8392,0,5,3,False,False,True,False,False,False,False,True,False,False
170.87,0,0.575,0,6,3,False,True,False,False,False,True,False,False,False,False
45.8,1,0.2225,0,13,1,False,True,False,False,False,False,False,False,False,True
77.25,0,0.599,0,1,0,False,False,False,True,False,False,False,True,False,False
70.08,0,0.0672,0,9,1,False,False,True,False,False,False,False,False,True,False
27.37,0,0.2937,1,0,1,True,False,False,False,False,False,True,False,False,False
62.0,0,0.5693,0,21,3,False,False,False,False,True,True,False,False,False,False
33.64,0,0.1238,1,23,6,False,False,False,False,True,False,False,False,False,True
32.25,0,0.4924,0,12,5,False,False,False,False,True,False,False,False,True,False
287.98,1,0.1186,0,4,0,False,False,False,False,True,False,False,False,True,False
266.58,1,0.4873,1,9,6,False,False,True,False,False,False,True,False,False,False
66.23,0,0.6782,1,1,1,True,False,False,False,False,False,False,False,False,True
300.74,0,0.8028,0,17,5,False,False,False,False,True,False,True,False,False,False
76.19,1,0.6962,0,3,1,False,False,False,True,False,False,False,False,True,False
29.84,1,0.159,0,4,3,False,False,True,False,False,False,False,False,False,True
231.29,1,0.8838,1,16,1,False,True,False,False,False,False,True,False,False,False
68.44,1,0.5559,0,16,5,True,False,False,False,False,False,False,False,False,True
13.19,0,0.448,0,8,5,False,False,False,False,True,True,False,False,False,False
102.89,0,0.8142,0,8,6,False,False,False,False,True,False,True,False,False,False
177.99,1,0.0076,0,0,1,False,False,True,False,False,False,False,False,False,True
120.32,0,0.8231,0,9,3,False,True,False,False,False,False,True,False,False,False
26.47,0,0.4645,0,6,3,False,False,True,False,False,False,False,False,False,True
210.98,0,0.4504,0,16,3,False,True,False,False,False,True,False,False,False,False
160.58,0,0.5051,0,11,5,False,False,True,False,False,False,False,False,True,False
52.5,0,0.0756,1,17,4,False,False,False,False,True,False,False,False,True,False
68.58,0,0.3251,0,18,4,False,False,False,True,False,False,True,False,False,False
8.26,0,0.8759,1,7,3,False,True,False,False,False,False,False,False,False,True
133.82,1,0.0451,0,21,5,False,True,False,False,False,False,False,True,False,False
251.8,0,0.7462,0,12,1,False,False,True,False,False,False,False,False,True,False
44.29,0,0.9524,1,8,4,False,False,True,False,False,True,False,False,False,False
25.05,0,0.9297,1,2,0,False,False,False,False,True,True,False,False,False,False
159.36,0,0.9967,1,9,2,False,True,False,False,False,False,True,False,False,False
154.59,1,0.6357,0,1,5,False,True,False,False,False,False,True,False,False,False
136.49,0,0.5891,0,9,0,False,False,False,True,False,False,False,False,False,True
155.09,0,0.0973,1,12,3,False,False,False,True,False,False,False,False,True,False
51.97,0,0.7717,0,2,3,False,False,True,False,False,False,True,False,False,False
52.75,0,0.0153,0,5,6,False,False,False,True,False,True,False,False,False,False
71.39,1,0.0584,0,20,0,False,False,True,False,False,False,True,False,False,False
50.8,1,0.8669,1,9,2,False,False,False,True,False,True,False,False,False,False
56.64,1,0.8361,0,21,2,False,False,True,False,False,False,True,False,False,False
23.31,0,0.0365,0,14,6,False,False,True,False,False,True,False,False,False,False
145.45,1,0.4347,0,9,1,False,False,False,True,False,False,False,False,True,False
9.65,0,0.1251,0,14,3,False,True,False,False,False,False,False,False,True,False
268.52,0,0.2972,0,5,0,True,False,False,False,False,True,False,False,False,False
23.32,0,0.8339,0,16,1,True,False,False,False,False,False,False,False,False,True
19.23,1,0.4605,1,18,3,False,False,True,False,False,False,False,True,False,False
6.17,0,0.6261,1,21,6,True,False,False,False,False,False,False,True,False,False
29.37,0,0.99,1,16,6,False,True,False,False,False,False,False,False,False,True
18.36,1,0.3229,1,19,4,False,False,False,False,True,False,False,True,False,False
52.59,0,0.7777,0,19,1,False,False,True,False,False,False,False,False,False,True
376.37,0,0.5833,0,22,1,False,False,True,False,False,False,True,False,False,False
469.43,1,0.5912,1,9,4,False,True,False,False,False,True,False,False,False,False
186.24,0,0.3756,0,5,1,True,False,False,False,False,False,False,False,False,True
35.02,0,0.9513,1,10,4,False,False,True,False,False,True,False,False,False,False
119.32,1,0.8934,1,18,3,False,False,False,False,True,False,True,False,False,False
92.61,0,0.6012,0,16,5,False,True,False,False,False,True,False,False,False,False
10.15,0,0.43,1,2,0,False,True,False,False,False,False,True,False,False,False
13.14,0,0.5644,0,19,6,False,False,False,False,True,False,False,True,False,False
51.35,0,0.5535,0,9,5,True,False,False,False,False,False,True,False,False,False
11.98,0,0.7148,1,6,5,True,False,False,False,False,False,True,False,False,False
13.31,0,0.8653,1,15,4,False,True,False,False,False,False,False,False,True,False
72.49,0,0.2904,0,6,4,True,False,False,False,False,False,True,False,False,False
152.06,0,0.4928,0,5,1,False,False,False,False,True,False,False,False,True,False
50.7,1,0.3298,1,7,2,False,True,False,False,False,True,False,False,False,False
134.91,1,0.9466,1,0,5,False,False,False,True,False,False,False,False,True,False
216.73,1,0.3407,1,4,2,True,False,False,False,False,False,False,False,True,False
275.07,0,0.0026,1,14,2,False,False,False,False,True,False,True,False,False,False
19.71,0,0.8988,1,9,1,False,False,False,True,False,False,False,False,True,False
29.94,0,0.8882,1,4,5,False,False,True,False,False,False,False,False,False,True
18.3,0,0.7629,0,10,5,False,False,False,False,True,True,False,False,False,False
33.34,0,0.898,1,16,4,False,False,True,False,False,False,True,False,False,False
2.65,1,0.6463,0,22,5,False,False,False,False,True,False,True,False,False,False
97.88,0,0.0745,0,9,4,False,False,False,True,False,False,False,False,True,False
7.41,0,0.9656,1,0,0,False,True,False,False,False,False,False,False,False,True
3.96,1,0.5355,1,21,4,False,False,False,True,False,True,False,False,False,False
101.03,0,0.5137,0,1,6,False,False,False,True,False,False,False,False,False,True
94.29,0,0.0704,1,7,6,False,False,False,True,False,False,False,False,True,False
139.19,0,0.1313,0,1,4,False,False,False,True,False,True,False,False,False,False
335.32,0,0.9044,1,22,6,True,False,False,False,False,False,False,True,False,False
213.95,0,0.4833,0,21,0,False,False,False,True,False,False,False,False,False,True
151.28,1,0.7025,1,17,6,False,False,False,True,False,True,False,False,False,False
35.66,0,0.3993,0,4,2,False,False,False,False,True,False,False,False,False,True
8.18,0,0.2903,0,7,2,False,True,False,False,False,True,False,False,False,False
49.88,0,0.0373,0,1,2,False,False,False,True,False,False,False,False,True,False
118.79,1,0.3105,0,12,0,True,False,False,False,False,False,False,False,True,False
4.83,1,0.934,1,19,6,False,False,True,False,False,False,True,False,False,False
82.85,0,0.2871,0,5,5,False,True,False,False,False,False,False,False,False,True
142.72,1,0.2556,0,10,6,True,False,False,False,False,False,False,False,False,True
151.58,1,0.6081,0,22,1,False,False,True,False,False,False,True,False,False,False
89.19,0,0.3581,0,10,0,False,False,False,False,True,True,False,False,False,False
121.44,0,0.4561,0,21,6,False,True,False,False,False,True,False,False,False,False
41.83,1,0.8632,1,10,5,False,False,False,False,True,True,False,False,False,False
249.35,0,0.1412,0,11,0,True,False,False,False,False,False,False,True,False,False
207.98,1,0.1706,1,11,1,False,False,True,False,False,False,False,True,False,False
24.17,0,0.4485,0,19,6,False,False,False,False,True,False,True,False,False,False
40.76,1,0.8856,1,1,0,False,True,False,False,False,False,True,False,False,False
56.67,1,0.1708,0,5,1,True,False,False,False,False,False,False,True,False,False
72.15,0,0.531,0,15,4,False,True,False,False,False,False,True,False,False,False
21.22,0,0.2901,0,10,2,False,False,True,False,False,True,False,False,False,False
13.51,0,0.6283,0,22,2,False,True,False,False,False,False,False,False,False,True
11.49,0,0.34,1,0,5,False,False,False,True,False,False,False,False,True,False
49.64,1,0.3928,0,12,4,False,True,False,False,False,False,False,False,True,False
41.15,0,0.2046,1,1,5,False,False,False,True,False,False,False,True,False,False
83.14,0,0.8611,1,9,3,False,True,False,False,False,False,True,False,False,False
117.98,1,0.4767,0,16,6,False,False,False,False,True,False,False,False,False,True
33.28,0,0.8019,0,0,6,False,False,False,True,False,False,False,False,True,False
60.7,0,0.4815,0,14,6,False,False,False,True,False,False,False,True,False,False
83.57,1,0.7244,1,8,2,False,False,False,True,False,False,False,True,False,False
3.53,1,0.679,0,0,5,True,False,False,False,False,False,False,False,True,False
21.48,1,0.2721,0,6,3,False,False,True,False,False,True,False,False,False,False
72.28,0,0.474,0,7,3,False,True,False,False,False,False,True,False,False,False
40.42,0,0.1965,0,2,1,False,False,False,True,False,False,False,False,True,False
30.61,0,0.7121,1,18,2,False,False,True,False,False,False,False,False,False,True
86.93,0,0.8015,0,16,2,False,True,False,False,False,False,False,False,False,True
2.86,0,0.7425,0,7,4,False,False,True,False,False,False,False,False,True,False
38.35,1,0.4551,0,13,6,False,False,True,False,False,True,False,False,False,False
115.2,1,0.2801,0,2,1,False,True,False,False,False,True,False,False,False,False
44.06,0,0.0914,0,14,6,False,False,False,False,True,False,False,True,False,False
64.49,0,0.0796,0,15,6,False,False,True,False,False,False,False,True,False,False
176.19,0,0.6883,0,15,6,False,True,False,False,False,True,False,False,False,False
165.67,0,0.0902,0,5,4,False,False,False,True,False,False,False,True,False,False
51.05,1,0.421,0,20,0,False,True,False,False,False,False,False,False,True,False
82.24,0,0.4325,0,10,1,False,False,False,True,False,False,False,False,False,True
75.74,0,0.2291,0,5,4,False,False,False,True,False,False,False,True,False,False
129.11,1,0.6636,0,22,1,False,False,True,False,False,False,False,True,False,False
27.12,0,0.6091,0,1,2,False,True,False,False,False,False,False,True,False,False
43.6,1,0.1984,1,0,6,True,False,False,False,False,False,False,False,False,True
55.03,0,0.9496,1,8,1,False,False,True,False,False,False,True,False,False,False
148.41,0,0.9466,1,7,2,True,False,False,False,False,True,False,False,False,False
93.57,0,0.3982,0,12,5,False,False,False,True,False,False,False,False,True,False
137.09,0,0.0207,1,11,0,False,False,False,False,True,False,False,False,True,False
22.98,0,0.1066,0,12,4,False,True,False,False,False,False,False,False,True,False
22.96,0,0.1943,0,2,2,False,False,False,True,False,False,False,True,False,False
112.64,0,0.3169,1,18,4,False,True,False,False,False,False,False,False,False,True
22.34,0,0.8656,1,18,3,False,True,False,False,False,True,False,False,False,False
9.87,0,0.4326,0,4,2,False,False,True,False,False,False,False,False,True,False
82.1,0,0.3427,0,7,6,False,True,False,False,False,False,True,False,False,False
104.77,1,0.5402,1,2,1,True,False,False,False,False,False,True,False,False,False
25.02,1,0.7424,0,10,6,False,False,False,True,False,False,True,False,False,False
43.58,0,0.9588,1,12,6,False,False,True,False,False,False,False,True,False,False
45.53,1,0.1836,0,0,5,False,False,False,True,False,True,False,False,False,False
347.42,0,0.4017,0,12,2,False,False,True,False,False,False,False,False,False,True
174.28,0,0.3271,0,20,4,False,False,False,True,False,False,False,False,True,False
27.92,0,0.9134,1,21,5,False,True,False,False,False,False,True,False,False,False
129.2,0,0.8627,1,10,1,False,False,False,True,False,False,True,False,False,False
15.21,0,0.5818,0,16,2,False,False,False,False,True,False,False,False,False,True
14.99,0,0.6837,1,0,6,False,False,False,True,False,True,False,False,False,False
14.26,0,0.2656,0,3,5,False,False,False,False,True,False,False,False,False,True
3.13,0,0.1055,0,2,4,False,False,False,False,True,False,True,False,False,False
51.13,0,0.0282,0,7,5,True,False,False,False,False,False,False,True,False,False
19.31,0,0.1361,1,23,6,False,False,True,False,False,False,True,False,False,False
189.97,0,0.8337,0,17,6,False,False,False,True,False,False,True,False,False,False
45.5,0,0.8566,1,9,6,False,False,False,False,True,False,False,True,False,False
57.66,1,0.8864,1,14,6,True,False,False,False,False,True,False,False,False,False
193.61,1,0.168,0,20,1,False,False,False,False,True,False,False,False,True,False
42.7,0,0.1977,1,14,1,False,False,True,False,False,False,False,False,False,True
111.07,1,0.3498,0,13,3,False,False,False,False,True,False,False,False,True,False
187.17,0,0.9394,1,3,2,False,False,True,False,False,False,False,True,False,False
171.56,0,0.4811,0,19,6,False,False,False,True,False,False,False,False,True,False
84.07,0,0.4132,0,16,4,True,False,False,False,False,False,True,False,False,False
27.74,1,0.5238,1,19,0,False,True,False,False,False,False,False,True,False,False
173.9,0,0.9316,1,18,4,False,True,False,False,False,True,False,False,False,False
20.72,0,0.2871,0,10,4,False,False,True,False,False,False,False,False,True,False
126.11,1,0.0197,0,6,1,True,False,False,False,False,False,False,False,True,False
35.24,0,0.2823,0,8,0,False,True,False,False,False,False,True,False,False,False
384.23,0,0.2802,0,18,6,False,False,True,False,False,False,False,False,True,False
19.7,0,0.9072,1,22,0,False,False,False,False,True,False,True,False,False,False
63.85,1,0.0009,1,1,1,False,False,False,True,False,False,False,False,False,True
224.43,0,0.9127,1,13,5,True,False,False,False,False,True,False,False,False,False
33.61,0,0.5565,0,12,0,False,True,False,False,False,False,False,True,False,False
147.81,0,0.9245,1,21,6,False,False,False,False,True,False,False,True,False,False
49.38,0,0.0745,0,13,2,False,False,False,False,True,False,True,False,False,False
10.21,0,0.5161,0,10,4,False,False,False,True,False,False,True,False,False,False
66.38,1,0.597,0,20,6,False,False,True,False,False,False,False,False,True,False
131.47,0,0.4587,1,14,1,False,False,True,False,False,True,False,False,False,False
272.83,1,0.9174,1,12,1,False,False,False,False,True,False,False,True,False,False
5.05,0,0.3256,0,0,1,False,False,True,False,False,False,True,False,False,False
4.64,0,0.5644,1,4,4,False,False,True,False,False,False,False,False,False,True
24.45,0,0.7604,0,17,5,True,False,False,False,False,False,True,False,False,False
75.44,0,0.0201,1,17,4,False,False,False,True,False,False,False,False,True,False
